lp;ID_Rosliny;Roslina;Lokalizacja_precyzyjna;Rodzaj_donicy;Lokalizacja_szczegolowa;Strefa_glowna;Pietro
2;P10_R2;Epipremnum;1;Konstrukcja podwieszona nad kuchnią;;kuchnia;10
50;P10_R50;Aglaonema;Prawa;Podwieszona pod oknami;;kuchnia;10
86;P10_R86;Epipremnum;5;Z kratką przy elewacji;;kuchnia;10
150;P10_R150;Monstera średnia;;Pod schodami;;Klatka schodowa;10
179;P10_R179;Dracaena reflexa Song of Jamaica;;Pod schodami;;Klatka schodowa;10
234;P10_R234;Epipremnum;;Z kratką przy elewacji;Sala 10.01;Salki;10
283;P10_R283;Monstera;1;Na szczytach biurek;;Openspace;10
354;P10_R354;Epipremnum;4;Florama 1;;Openspace;10
889;P11_R077;Epipremnum;3;Florama 3;;Openspace;11
1140;P11_R328;Epipremnum;10;Florama 1;;Openspace;11
1539;P12_R047;Epipremnum;;Florama 2;;Openspace;12
1736;P12_R244;Aglaonema;;Florama 3;;Openspace;12
1815;P12_R323;Kroton;;Wolnostojąca;;Office 12.12;12
1835;P12_R343;Calathea makoyana;;Na szczytach biurek;;Openspace;12
1965;P12_R473;Zamioculcas;;Na szczytach biurek;;Openspace;12
2078;P12_R586;Epipremnum;;donica wolnostojaca na kółkach;;kuchnia;12
2632;P13_R436;Epipremnum;64;Florama 3;;Openspace;13
3057;P14_R091;Aglaonema;15;donica prostokątna przy scenie;;Kuchnia;14
3130;P14_R164;Zamioculcas;22;donica zabudowana – kanapa;;Kuchnia;14
